eco_id	eco_name	status	best_title	best_url	score	redirected_from	candidates	notes	extract_len	extract_preview
599	Caribbean shrublands	partial_match	La Costa xeric shrublands	https://en.wikipedia.org/wiki/La_Costa_xeric_shrublands	66.66666666666666		Venezuelan Coastal Range | Nearctic realm | La Costa xeric shrublands	Score 67, review needed	5190	The La Costa xeric shrublands (NT1309) is an ecoregion in Venezuela that stretches along the Caribbean coast. The dry scrub and savanna has been subje...
652	Central Anatolian steppe and woodlands	redirect	Central Anatolian deciduous forests	https://en.wikipedia.org/wiki/Central_Anatolian_deciduous_forests	65.38461538461539	Central Anatolian steppe and woodlands		Redirects to: Central Anatolian deciduous forests	2543	The Central Anatolian deciduous forests, also known as the Central Anatolian woodlands and steppe, is a Palearctic ecoregion of the Temperate broadlea...
38	Central bushveld	strong_match	Bushveld	https://en.wikipedia.org/wiki/Bushveld	100.0		Bushveld | Geography of South Africa | Bushveld Igneous Complex		3537	The Bushveld (from Afrikaans: bosveld, Afrikaans: bos 'bush' and Afrikaans: veld) is a sub-tropical woodland ecoregion of Southern Africa. The ecoregi...
167	Chatham Island temperate forests	redirect	Chatham Islands	https://en.wikipedia.org/wiki/Chatham_Islands	63.63636363636363	Chatham Island temperate forests		Redirects to: Chatham Islands	38445	The Chatham Islands ( CHAT-əm; Moriori: Rēkohu, lit. 'Misty Sun'; Māori: Wharekauri) are an archipelago in the Pacific Ocean about 800 km (430 nmi) ea...
292	Chhota-Nagpur dry deciduous forests	redirect	Chota Nagpur Plateau	https://en.wikipedia.org/wiki/Chota_Nagpur_Plateau	50.90909090909091	Chhota-Nagpur dry deciduous forests		Redirects to: Chota Nagpur Plateau	19677	The Chota Nagpur Plateau (IPA: [t͡ʃʰoːʈaː naːɡpʊɾ]) is a plateau in eastern India, which covers much of Jharkhand state as well as adjacent parts of C...
69	East African halophytics	redirect	Lake Natron	https://en.wikipedia.org/wiki/Lake_Natron	28.57142857142857	East African halophytics		Redirects to: Lake Natron	6917	Lake Natron is a highly alkaline salt lake located in north Ngorongoro District of Arusha Region in Tanzania with its far northern end crossing into K...
191	Eastern Australia mulga shrublands	redirect	Mulga Lands	https://en.wikipedia.org/wiki/Mulga_Lands	62.5	Eastern Australia mulga shrublands		Redirects to: Mulga Lands	4071	The Mulga Lands are an interim Australian bioregion of eastern Australia consisting of dry sandy plains with low mulga woodlands and shrublands that a...
333	Eastern Canadian Forest-Boreal transition	partial_match	Eastern forest–boreal transition	https://en.wikipedia.org/wiki/Eastern_forest%E2%80%93boreal_transition	84.93150684931507		Eastern forest–boreal transition | Boreal forest of Canada | Eastern Canadian Boreal Forests	Score 85, review needed	7424	The eastern forest–boreal transition is a temperate broadleaf and mixed forests ecoregion of North America, mostly in eastern Canada.  It is a transit...
185	Einasleigh upland savanna	redirect	Einasleigh Uplands	https://en.wikipedia.org/wiki/Einasleigh_Uplands	79.06976744186046	Einasleigh upland savanna		Redirects to: Einasleigh Uplands	3407	The Einasleigh Uplands is an interim Australian bioregion, with vegetation consisting of savanna and woodland located on a large plateau in inland Que...
122	Ellsworth Mountains tundra	partial_match	Ellsworth Land	https://en.wikipedia.org/wiki/Ellsworth_Land	78.26086956521739		List of tundra ecoregions | Antarctic realm | Ellsworth Land	Score 78, review needed	1499	Ellsworth Land is a portion of the Antarctic continent bounded on the west by Marie Byrd Land, on the north by the Bellingshausen Sea, on the northeas...
199	Eyre and York mallee	redirect	Eyre Yorke Block	https://en.wikipedia.org/wiki/Eyre_Yorke_Block	61.111111111111114	Eyre and York mallee		Redirects to: Eyre Yorke Block	2576	The Eyre Yorke Block, also known as the Eyre and Yorke mallee, is an interim Australian (IBRA) bioregion and a World Wildlife Fund ecoregion covering ...
462	Fernando de Noronha-Atol das Rocas moist forests	redirect	Fernando de Noronha	https://en.wikipedia.org/wiki/Fernando_de_Noronha	73.33333333333333	Fernando de Noronha-Atol das Rocas moist forests		Redirects to: Fernando de Noronha	25833	Fernando de Noronha (Brazilian Portuguese pronunciation: [feʁˈnɐ̃du dʒi noˈɾoɲɐ]), officially the State District of Fernando de Noronha (Portuguese: D...
94	Gariep Karoo	partial_match	Gariep Arts Festival	https://en.wikipedia.org/wiki/Gariep_Arts_Festival	66.66666666666666		Gariep Arts Festival | Gariep Nature Reserve | Orange River	Score 67, review needed	2581	The Gariep Arts Festival, also known as the Gariep Kunstefees, is an annual four-day Afrikaans local music event that happens in the city of Kimberly,...
201	Hampton mallee and woodlands	redirect	Hampton bioregion	https://en.wikipedia.org/wiki/Hampton_bioregion	58.333333333333336	Hampton mallee and woodlands		Redirects to: Hampton bioregion	3849	Hampton is an interim Australian bioregion located in southeastern coastal Western Australia, with a small portion (4%) extending into adjacent South ...
96	Ile Europa and Bassas da India xeric scrub	redirect	Europa Island	https://en.wikipedia.org/wiki/Europa_Island	63.1578947368421	Ile Europa and Bassas da India xeric scrub		Redirects to: Europa Island	3838	Europa Island (French: Île Europa, pronounced [il øʁɔpa]), in Malagasy Nosy Ampela is a 28-square-kilometre (11 sq mi) low-lying tropical atoll in the...
336	Interior Plateau US Hardwood Forests	partial_match	Central U.S. hardwood forests	https://en.wikipedia.org/wiki/Central_U.S._hardwood_forests	73.84615384615384		Interior Low Plateaus | Central U.S. hardwood forests | List of ecoregions in the United States (EPA)	Score 74, review needed	3159	The central U.S. hardwood forests comprise a temperate broadleaf and mixed forests ecoregion in the Eastern United States, as defined by the World Wil...
533	Islas Revillagigedo dry forests	redirect	Revillagigedo Islands	https://en.wikipedia.org/wiki/Revillagigedo_Islands	76.47058823529412	Islas Revillagigedo dry forests		Redirects to: Revillagigedo Islands	14781	The Revillagigedo Islands (Spanish: Islas Revillagigedo, IPA: [reˈβiʝa xiˈxeðo]) or Revillagigedo Archipelago are a group of four volcanic islands in ...
202	Jarrah-Karri forest and shrublands	redirect	Warren bioregion	https://en.wikipedia.org/wiki/Warren_bioregion	32.0	Jarrah-Karri forest and shrublands		Redirects to: Warren bioregion	12537	Warren, also known as Karri Forest Region and the Jarrah-Karri forest and shrublands ecoregion, is a biogeographic region in southern Western Australi...
97	Kalahari xeric savanna	redirect	Kalahari Desert	https://en.wikipedia.org/wiki/Kalahari_Desert	69.56521739130434	Kalahari xeric savanna		Redirects to: Kalahari Desert	12544	The Kalahari Desert is a large semiarid sandy savanna in Southern Africa covering 900,000 km2 (350,000 sq mi), including much of Botswana, as well as ...
733	Kazakh upland steppe	strong_match	Kazakh Steppe	https://en.wikipedia.org/wiki/Kazakh_Steppe	100.0		Kazakh Steppe | Kazakh Uplands | Eurasian Steppe		3930	The Kazakh Steppe (Kazakh: Қазақ даласы, romanized: Qazaq dalasy [qɑˈzɑq dɑɫɑˈsə]), also known as the Great Steppe or Great Dala (Kazakh: Ұлы дала, ro...
313	Kinabalu montane alpine meadows	redirect	Mount Kinabalu	https://en.wikipedia.org/wiki/Mount_Kinabalu	72.72727272727272	Kinabalu montane alpine meadows		Redirects to: Mount Kinabalu	18023	Mount Kinabalu (Dusun: Gayo Ngaran or Nulu Nabalu, Malay: Gunung Kinabalu) is the highest mountain in Malaysia and Maritime Southeast Asia, located on...
357	Klamath-Siskiyou forests	redirect	Klamath Mountains (ecoregion)	https://en.wikipedia.org/wiki/Klamath_Mountains_(ecoregion)	49.056603773584904	Klamath-Siskiyou forests		Redirects to: Klamath Mountains (ecoregion)	17289	The Klamath Mountains ecoregion  of Oregon and California lies inland and north of the Coast Range ecoregion, extending from the Umpqua River in the n...
16	Kwazulu Natal-Cape coastal forests	partial_match	KwaZulu–Cape coastal forest mosaic	https://en.wikipedia.org/wiki/KwaZulu%E2%80%93Cape_coastal_forest_mosaic	76.47058823529412		KwaZulu-Natal | KwaZulu–Cape coastal forest mosaic | Forests of KwaZulu-Natal	Score 76, review needed	2662	The Kwazulu-Cape coastal forest mosaic is a subtropical moist broadleaf forest ecoregion of South Africa. It covers an area of 17,800 square kilometer...
577	Low Monte	redirect	Argentine Monte	https://en.wikipedia.org/wiki/Argentine_Monte	71.42857142857143	Low Monte		Redirects to: Argentine Monte	6987	The Argentine Monte (NT0802), or Low Monte, is an ecoregion of dry thorn scrub and grasslands in Argentina. It is one of the driest regions in the cou...
19	Maputaland coastal forests and woodlands	redirect	Maputaland coastal forest mosaic	https://en.wikipedia.org/wiki/Maputaland_coastal_forest_mosaic	77.77777777777777	Maputaland coastal forests and woodlands		Redirects to: Maputaland coastal forest mosaic	3180	The Maputaland coastal forest mosaic is a subtropical moist broadleaf forest ecoregion on the Indian Ocean coast of Southern Africa. It covers an area...
20	Mascarene forests	redirect	Mascarene Islands	https://en.wikipedia.org/wiki/Mascarene_Islands	70.58823529411765	Mascarene forests		Redirects to: Mascarene Islands	25637	The Mascarene Islands (English: ; French: Mascareignes [maskaʁɛɲ] ) or Mascarenes or Mascarenhas Archipelago is a group of islands in the Indian Ocean...
393	Mid-Atlantic US coastal savannas	partial_match	Middle Atlantic coastal forests	https://en.wikipedia.org/wiki/Middle_Atlantic_coastal_forests	63.492063492063494		Atlantic Plain | Middle Atlantic coastal forests | Southern Coastal Plain (ecoregion)	Score 63, review needed	6818	The Middle Atlantic coastal forests are a temperate coniferous forest mixed with patches of evergreen broadleaved forests (closer to the Atlantic coas...
84	Mulanje Montane forest-grassland	partial_match	South Malawi montane forest–grassland mosaic	https://en.wikipedia.org/wiki/South_Malawi_montane_forest%E2%80%93grassland_mosaic	71.05263157894737		South Malawi montane forest–grassland mosaic | List of ecoregions in Malawi | List of ecoregions in Zimbabwe	Score 71, review needed	3642	The South Malawi montane forest–grassland mosaic is an ecoregion of Malawi. The ecoregion covers a region of highlands and plateaus that includes Moun...
203	Murray-Darling woodlands and mallee	redirect	Murray Darling Depression	https://en.wikipedia.org/wiki/Murray_Darling_Depression	40.0	Murray-Darling woodlands and mallee		Redirects to: Murray Darling Depression	3431	The Murray Darling Depression , also known as the Murray-Darling woodlands and mallee, is a 19,717,651 HA biogeographic region and an ecoregion in sou...
395	Nebraska Sand Hills mixed grasslands	redirect	Sandhills (Nebraska)	https://en.wikipedia.org/wiki/Sandhills_(Nebraska)	46.42857142857143	Nebraska Sand Hills mixed grasslands		Redirects to: Sandhills (Nebraska)	10897	The Sandhills, often written Sand Hills, is a region of mixed-grass prairie on grass-stabilized sand dunes in north-central Nebraska, covering just ov...
831	North Arabian desert	strong_match	Arabian Desert	https://en.wikipedia.org/wiki/Arabian_Desert	100.0		Arabian Desert | Syrian desert | Arabian-Persian Gulf Coastal Plain Desert		8099	The Arabian Desert (Arabic: ٱلصَّحْرَاء ٱلْعَرَبِيَّة) is a vast desert wilderness in West Asia that occupies almost the entire Arabian Peninsula with...
358	North Cascades conifer forests	partial_match	Mixed conifer forest	https://en.wikipedia.org/wiki/Mixed_conifer_forest	60.0		British Columbia mainland coastal forests | Arizona/New Mexico Mountains ecoregion | Cascades (ecoregion)	Score 60, review needed	2111	Mixed conifer forest is a vegetation type dominated by a mixture of broadleaf trees and conifers. It is generally located in mountains, below the uppe...
125	North Victoria Land tundra	partial_match	Tundra of North America	https://en.wikipedia.org/wiki/Tundra_of_North_America	69.38775510204081		List of tundra ecoregions | Toyota Tundra | Antarctic realm	Score 69, review needed	23505	The Tundra of North America is a Level I ecoregion of North America designated by the Commission for Environmental Cooperation (CEC) in its North Amer...
361	Northern Rockies conifer forests	redirect	North Central Rockies forests	https://en.wikipedia.org/wiki/North_Central_Rockies_forests	81.9672131147541	Northern Rockies conifer forests		Redirects to: North Central Rockies forests	3899	The North Central Rockies forests is a temperate coniferous forest ecoregion of Canada and the United States. This region overlaps in large part with ...
127	Northwest Antarctic Peninsula tundra	strong_match	Tundra	https://en.wikipedia.org/wiki/Tundra	100.0		List of tundra ecoregions | Antarctic realm | Tundra		11841	In physical geography, a tundra () is a type of biome where tree growth is hindered by frigid temperatures and short growing seasons. There are three ...
212	Nullarbor Plains xeric shrublands	redirect	Nullarbor Plain	https://en.wikipedia.org/wiki/Nullarbor_Plain	75.0	Nullarbor Plains xeric shrublands		Redirects to: Nullarbor Plain	17877	The Nullarbor Plain ( NUL-ər-bor; Latin: nulla feminine of nullus 'no' and arbor 'tree') is part of the area of flat, almost treeless, arid or semi-ar...
340	Ozark Highlands mixed forests	partial_match	Ozark Mountain forests	https://en.wikipedia.org/wiki/Ozark_Mountain_forests	74.28571428571428		U.S. Interior Highlands | Ozark Mountain forests | Ozark Highlands (ecoregion)	Score 74, review needed	684	The Ozark Mountain forests are a temperate broadleaf and mixed forests ecoregion in the central United States, delineated by the World Wide Fund for N...
578	Patagonian steppe	redirect	Patagonian Desert	https://en.wikipedia.org/wiki/Patagonian_Desert	76.47058823529412	Patagonian steppe		Redirects to: Patagonian Desert	10220	The Patagonian Desert, also known as the Patagonian Steppe, is the largest desert in Argentina and is the eighth-largest desert in the world by area, ...
735	Pontic steppe	redirect	Pontic–Caspian steppe	https://en.wikipedia.org/wiki/Pontic%E2%80%93Caspian_steppe	76.47058823529412	Pontic steppe		Redirects to: Pontic–Caspian steppe	4806	The Pontic–Caspian Steppe is a steppe extending across Eastern Europe to Central Asia, formed by the Caspian and Pontic steppes. It stretches from the...
174	Rakiura Island temperate forests	redirect	Stewart Island	https://en.wikipedia.org/wiki/Stewart_Island	60.0	Rakiura Island temperate forests		Redirects to: Stewart Island	20247	Stewart Island (Māori: Rakiura, lit. 'glowing skies', officially Stewart Island / Rakiura, formerly New Leinster) is the third-largest and southernmos...
628	Rapa Nui and Sala y Gómez subtropical forests	partial_match	List of tropical and subtropical moist broadleaf forests ecoregions	https://en.wikipedia.org/wiki/List_of_tropical_and_subtropical_moist_broadleaf_forests_ecoregions	67.64705882352942		Isla Salas y Gómez | Easter Island | List of tropical and subtropical moist broadleaf forests ecoregions	Score 68, review needed	324	This is a list of tropical and subtropical moist broadleaf forest ecoregions, arranged by biogeographic realm.   Afrotropical realm   Australasian rea...
837	Red Sea-Arabian Desert shrublands	partial_match	East Arabian fog shrublands and sand desert	https://en.wikipedia.org/wiki/East_Arabian_fog_shrublands_and_sand_desert	71.05263157894737		Arabian Desert | Red Sea Nubo–Sindian tropical desert and semi-desert | Deserts and xeric shrublands	Score 71, review needed	2970	The East Arabian fog shrublands and sand desert is a deserts and xeric shrubland ecoregion in Oman. It encompasses two areas of coastal desert in the ...
498	Rio Negro campinarana	redirect	Campinarana	https://en.wikipedia.org/wiki/Campinarana	100.0	Rio Negro campinarana		Redirects to: Campinarana	6298	Campinarana (NT0158, Portuguese pronunciation: [kɐ̃ˌpinɐˈɾɐ̃nɐ]), also called Rio Negro Campinarana, is a neotropical ecoregion in the Amazon biome of...
53	Sahelian Acacia savanna	redirect	Sahel	https://en.wikipedia.org/wiki/Sahel	35.71428571428571	Sahelian Acacia savanna		Redirects to: Sahel	23230	The Sahel region (; from Arabic  ساحل (sāḥil [ˈsaːħil]) 'coast, shore'), or Sahelian acacia savanna, is a biogeographical region in Africa. It is the ...
425	Santa Lucia Montane Chaparral & Woodlands	partial_match	California montane chaparral and woodlands	https://en.wikipedia.org/wiki/California_montane_chaparral_and_woodlands	79.51807228915663		California montane chaparral and woodlands | California interior chaparral and woodlands | Santa Lucia Mountains slender salamander	Score 80, review needed	4553	The California montane chaparral and woodlands is an ecoregion defined by the World Wildlife Fund, spanning 7,900 square miles (20,000 km2) of mountai...
132	South Victoria Land tundra	partial_match	Toyota Tundra	https://en.wikipedia.org/wiki/Toyota_Tundra	63.1578947368421		List of tundra ecoregions | Antarctic realm | Toyota Tundra	Score 63, review needed	37663	The Toyota Tundra (Japanese: トヨタ・タンドラ, Hepburn: Toyota Tandora) is a full-size pickup truck manufactured in the United States by the Japanese manufact...
616	Southern Atlantic Brazilian mangroves	partial_match	Bahia mangroves	https://en.wikipedia.org/wiki/Bahia_mangroves	75.0		Bahia mangroves | Atlantic Forest | List of ecoregions in Brazil	Score 75, review needed	4575	The Bahia mangroves is a tropical ecoregion of the mangroves biome, and the South American Atlantic Forest biome, located in Northeastern Brazil. Its ...
87	Southern Rift Montane forest-grassland	strong_match	Southern Rift montane forest–grassland mosaic	https://en.wikipedia.org/wiki/Southern_Rift_montane_forest%E2%80%93grassland_mosaic	89.1566265060241		Southern Rift montane forest–grassland mosaic | Afromontane | Southern Highlands, Tanzania		2611	The South Malawi montane forest-grassland mosaic is a montane grasslands and shrublands ecoregion of Tanzania, Malawi, Mozambique, and Zambia. The eco...
28	Southern Swahili coastal forests and woodlands	redirect	Southern Zanzibar–Inhambane coastal forest mosaic	https://en.wikipedia.org/wiki/Southern_Zanzibar%E2%80%93Inhambane_coastal_forest_mosaic	63.1578947368421	Southern Swahili coastal forests and woodlands		Redirects to: Southern Zanzibar–Inhambane coastal forest mosaic	7513	The Southern Zanzibar–Inhambane coastal forest mosaic, also known as the Southern Swahili coastal forests and woodlands, is a tropical moist broadleaf...
107	Southwest Arabian coastal xeric shrublands	redirect	Arabian Peninsula coastal fog desert	https://en.wikipedia.org/wiki/Arabian_Peninsula_coastal_fog_desert	58.97435897435897	Southwest Arabian coastal xeric shrublands		Redirects to: Arabian Peninsula coastal fog desert	3146	The Arabian Peninsula coastal fog desert, also known as the Southwestern Arabian coastal xeric scrub, is a desert ecoregion on the southern coasts of ...
108	Southwest Arabian Escarpment shrublands and woodlands	redirect	Southwestern Arabian foothills savanna	https://en.wikipedia.org/wiki/Southwestern_Arabian_foothills_savanna	52.747252747252745	Southwest Arabian Escarpment shrublands and woodlands		Redirects to: Southwestern Arabian foothills savanna	7800	The Southwestern Arabian foothills savanna, also known as the Southwestern Arabian Escarpment shrublands and woodlands, is a desert and xeric shrublan...
109	Southwest Arabian highland xeric scrub	partial_match	Southwestern Arabian foothills savanna	https://en.wikipedia.org/wiki/Southwestern_Arabian_foothills_savanna	65.78947368421052		Southwestern Arabian foothills savanna | Global 200 | List of terrestrial ecoregions (WWF)	Score 66, review needed	7800	The Southwestern Arabian foothills savanna, also known as the Southwestern Arabian Escarpment shrublands and woodlands, is a desert and xeric shrublan...
739	Syrian xeric grasslands and shrublands	redirect	Middle East steppe	https://en.wikipedia.org/wiki/Middle_East_steppe	25.0	Syrian xeric grasslands and shrublands		Redirects to: Middle East steppe	3552	The Middle East steppe ecoregion (WWF ID: PA0812) stretches in an arc from southern Jordan across Syria and Iraq to the western border of Iran. The up...
843	Taklimakan desert	redirect	Taklamakan Desert	https://en.wikipedia.org/wiki/Taklamakan_Desert	94.11764705882354	Taklimakan desert		Redirects to: Taklamakan Desert	11410	The Taklamakan Desert ( TAK-lə-mə-KAN) is a desert in northwest China. Located inside the Tarim Basin in Southern Xinjiang, it is bounded by the Kunlu...
747	Tigris-Euphrates alluvial salt marsh	redirect	Mesopotamian Marshes	https://en.wikipedia.org/wiki/Mesopotamian_Marshes	35.71428571428571	Tigris-Euphrates alluvial salt marsh		Redirects to: Mesopotamian Marshes	14394	The Mesopotamian Marshes, also known as the Iraqi Marshes, are a wetland area located in southern Iraq and southwestern Iran as well as partially in n...
508	Tocantins/Pindare moist forests	redirect	Tocantins–Araguaia–Maranhão moist forests	https://en.wikipedia.org/wiki/Tocantins%E2%80%93Araguaia%E2%80%93Maranh%C3%A3o_moist_forests	72.22222222222223	Tocantins/Pindare moist forests		Redirects to: Tocantins–Araguaia–Maranhão moist forests	7320	The Tocantins–Araguaia–Maranhão moist forests (NT0170), also called the Tocantins/Pindaré moist forests, is an ecoregion in the north of Brazil to the...
134	Transantarctic Mountains tundra	strong_match	Tundra	https://en.wikipedia.org/wiki/Tundra	100.0		List of tundra ecoregions | Antarctic realm | Tundra		11841	In physical geography, a tundra () is a type of biome where tree growth is hindered by frigid temperatures and short growing seasons. There are three ...
509	Trindade-Martin Vaz Islands tropical forests	redirect	Trindade and Martim Vaz	https://en.wikipedia.org/wiki/Trindade_and_Martim_Vaz	53.73134328358209	Trindade-Martin Vaz Islands tropical forests		Redirects to: Trindade and Martim Vaz	9666	Trindade and Martim Vaz (Portuguese: Trindade e Martim Vaz, pronounced [tɾĩˈdadʒi i mɐʁˈtʃĩ ˈvas]) is an archipelago located in the South Atlantic Oce...
402	Western shortgrass prairie	redirect	Western short grasslands	https://en.wikipedia.org/wiki/Western_short_grasslands	64.0	Western shortgrass prairie		Redirects to: Western short grasslands	2034	The Western short grasslands is a temperate grassland ecoregion of the United States.   Setting This ecoregion largely corresponds with the geographic...
687	Western Siberian hemiboreal forests	redirect	West Siberian broadleaf and mixed forests	https://en.wikipedia.org/wiki/West_Siberian_broadleaf_and_mixed_forests	68.42105263157895	Western Siberian hemiboreal forests		Redirects to: West Siberian broadleaf and mixed forests	2163	The West Siberian broadleaf and mixed forests, also known as the Western Siberian hemiboreal forests, is an ecoregion (WWF ID: PA0444) in Russia. It c...
66	Zambezian-Limpopo mixed woodlands	partial_match	Dry miombo woodlands	https://en.wikipedia.org/wiki/Dry_miombo_woodlands	62.06896551724138		Dry miombo woodlands | Zimbabwe | Kruger National Park	Score 62, review needed	3139	The dry miombo woodlands is an ecoregion in Africa. It has an area of 1,185,632 square kilometres (457,775 sq mi), covering portions of Tanzania, Moza...
